step,portfolio_value,prev_prices,curr_prices,returns,action,expert_action,sub_expert_action,real_action,reward
1,0.9953307190792701,"[100.0, 100.0, 100.0, 100.0, 100.0]","[100.28364512375367, 99.36266770806589, 98.79161963507838, 101.54257232954755, 100.21324692008558]","[0.0028364512375367214, -0.006373322919341149, -0.012083803649216235, 0.015425723295475535, 0.0021324692008558087]","[0.4869674742221832, 0.02606506459414959, 0.4869674742221832, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.1872906819373073, 0.200855527579849, 0.2015257771563159, 0.21204025058499523, 0.19828776274153262]","[0.4869674742221832, 0.02606506459414959, 0.4869674742221832, 0.0, 0.0]",-0.0046802029659934186
2,1.000074486238605,"[100.28364512375367, 99.36266770806589, 98.79161963507838, 101.54257232954755, 100.21324692008558]","[101.85823713011908, 97.25971654943744, 100.17392502044733, 102.8825950448418, 100.59693381763032]","[0.015701383853990378, -0.021164399136374367, 0.01399213202977118, 0.013196659140614703, 0.0038287043812750944]","[0.2672814428806305, 0.1981557011604309, 0.2672814428806305, 0.0, 0.2672814428806305]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2093404936375154, 0.18907228198648074, 0.18340983194979316, 0.20045153178885053, 0.21772586063736019]","[0.2672814428806305, 0.1981557011604309, 0.2672814428806305, 0.0, 0.2672814428806305]",0.004754729191275587
3,0.9925272549643744,"[101.85823713011908, 97.25971654943744, 100.17392502044733, 102.8825950448418, 100.59693381763032]","[101.5248246665464, 98.02723340689279, 98.21741996822911, 101.63201784807246, 99.52406758667135]","[-0.0032732989787243867, 0.007891415733925327, -0.019531081085410806, -0.012155381541691018, -0.01066499932198667]","[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.192880289945154, 0.18476610531863666, 0.22131567560218718, 0.20856550697085074, 0.19247242216317148]","[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]",-0.007810796895861891
4,0.9909069811843949,"[101.5248246665464, 98.02723340689279, 98.21741996822911, 101.63201784807246, 99.52406758667135]","[102.64877357134003, 97.86406334674751, 98.06140393322956, 100.39334870295495, 97.99294079144214]","[0.011070680579702495, -0.0016645380520736296, -0.0015884762097194169, -0.012187784630717187, -0.01538448771595693]","[0.0, 0.5784322619438171, 0.42156773805618286, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.188311050373741, 0.20613060782817358, 0.20773996169642153, 0.19785575674632144, 0.19996262335534254]","[0.0, 0.5784322619438171, 0.42156773805618286, 0.0, 0.0]",-0.001843868100714629
5,0.993183192221589,"[102.64877357134003, 97.86406334674751, 98.06140393322956, 100.39334870295495, 97.99294079144214]","[102.83909784270807, 98.11031512344233, 99.64090768330327, 98.52835778011632, 98.61946234051962]","[0.0018541309822446884, 0.0025162635626758256, 0.016107292846319062, -0.018576837479112155, 0.006393537575435186]","[0.33099883794784546, 0.6690012216567993, 0.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.1873328041135396, 0.198192521492238, 0.2034577706407154, 0.2216313759775908, 0.18938552777591613]","[0.33099883794784546, 0.6690012216567993, 0.0, 0.0, 0.0]",0.00177413860114456
6,0.9981617874824465,"[102.83909784270807, 98.11031512344233, 99.64090768330327, 98.52835778011632, 98.61946234051962]","[103.49327835533401, 97.63367455373455, 98.98152661603882, 99.96897768634891, 97.63622216750935]","[0.006361204311870841, -0.004858210567442109, -0.006617573871970457, 0.014621373365905329, -0.009970041913382962]","[0.0, 0.4932655394077301, 0.0, 0.5067344903945923, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20056657483277657, 0.1817749253069278, 0.1947555500233531, 0.21420988565644566, 0.20869306418049696]","[0.0, 0.4932655394077301, 0.0, 0.5067344903945923, 0.0]",0.004547316878947813
7,0.9990469655843951,"[103.49327835533401, 97.63367455373455, 98.98152661603882, 99.96897768634891, 97.63622216750935]","[104.23043505487402, 99.09338344941995, 98.74633547400224, 100.42105810176822, 97.72280677423691]","[0.007122749527839417, 0.01495087532408725, -0.0023761114833974863, 0.004522207047447383, 0.0008868082439631991]","[0.0, 0.0, 0.0, 0.0, 1.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20075941909175668, 0.19118237062082916, 0.20743672772606309, 0.2055084634653463, 0.19511301909600479]","[0.0, 0.0, 0.0, 0.0, 1.0]",4.9626612098545016e-05
8,0.9885665702982501,"[104.23043505487402, 99.09338344941995, 98.74633547400224, 100.42105810176822, 97.72280677423691]","[104.6762236281551, 99.63138720541266, 98.75591946406271, 99.36760173763841, 98.70451709686952]","[0.004276952053844776, 0.005429260130847497, 9.705666559140853e-05, -0.010490392991699272, 0.010045867029797805]","[0.0, 0.0, 0.0, 1.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2046377185077268, 0.2080326523036072, 0.20406306412755182, 0.18806395239981172, 0.19520261266130257]","[0.0, 0.0, 0.0, 1.0, 0.0]",-0.01190138298152774
9,0.9925390174484288,"[104.6762236281551, 99.63138720541266, 98.75591946406271, 99.36760173763841, 98.70451709686952]","[105.09685363804677, 97.47323483197233, 100.51099928944757, 99.6023572157371, 97.53188783754123]","[0.004018391142824232, -0.02166137031687425, 0.017771894939660075, 0.0023624951593228458, -0.011880198534150772]","[1.0, 0.0, 0.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20106808920088823, 0.19756636383836723, 0.19724745970456353, 0.20574198411980646, 0.19837610313637463]","[1.0, 0.0, 0.0, 0.0, 0.0]",0.0034696750440513123
10,0.9962469790472798,"[105.09685363804677, 97.47323483197233, 100.51099928944757, 99.6023572157371, 97.53188783754123]","[104.09535497312932, 98.69476337544944, 100.39958169986285, 97.83366941735399, 96.48877560663811]","[-0.009529292554909466, 0.012531938081082652, -0.001108511410416509, -0.017757489358933173, -0.01069508910399264]","[0.0, 0.3551456332206726, 0.6448544263839722, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19560030070610887, 0.20966884752795525, 0.20766634112810345, 0.19654717478195466, 0.19051733585587788]","[0.0, 0.3551456332206726, 0.6448544263839722, 0.0, 0.0]",0.0030664743126539214
